Artist Name;Popularity;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;Class
Bruno Mars;60.0;0.854;0.564;-4.964;0.0485;0.0171;;0.0849;0.899;134.071;5
Boston;54.0;0.382;0.814;-7.23;0.0406;0.0011;0.00401;0.101;0.569;116.454;10
The Raincoats;35.0;0.434;0.614;-8.334;0.0525;0.486;0.000196;0.394;0.787;147.681;6
Deno;66.0;0.853;0.597;-6.528;0.0555;0.0212;;0.122;0.569;107.033;5
Red Hot Chili Peppers;53.0;0.167;0.975;-4.279;0.216;0.000169;0.0161;0.172;0.0918;199.06;10
The Stooges;53.0;0.235;0.977;0.878;0.107;0.00353;0.00604;0.172;0.241;152.952;6
Solomon Burke;48.0;0.674;0.658;-9.647;0.104;0.404;1.34e-06;0.0981;0.677;143.292;2
Randy Travis;55.0;0.657;0.415;-9.915;0.025;0.175;5.65e-06;0.132;0.347;96.03;4
Professional Murder Music;29.0;0.431;0.776;-5.403;0.0527;2.21e-05;0.0013;0.179;0.318;120.857;8
Mohammed Rafi;11.0;0.491;0.563;-8.588;0.0331;0.957;0.0023;0.263;0.843;95.558;3
Arctic Monkeys;59.0;0.387;0.922;-5.192;0.0674;0.00487;;0.187;0.417;146.478;10
Buffalo Springfield;76.0;0.653;0.519;-10.164;0.0497;0.406;0.0209;0.101;0.822;98.883;10
Elmore James;37.0;0.431;0.852;-6.522;0.0431;0.564;0.208;0.254;0.794;67.601;2
Velvet Two Stripes;31.0;0.564;0.801;-4.73;0.0473;0.00233;0.0078;0.067;0.401;105.01;10
DaBaby;70.0;0.852;0.73;-5.803;0.0579;0.0219;;0.336;0.394;92.506;5
Mura Masa;48.0;0.347;0.411;-8.071;0.0414;0.0181;0.636;0.0975;0.395;171.991;6
Clairmont The Second;44.0;0.796;0.441;-9.83;0.292;0.16;2.89e-05;0.118;0.371;158.105;1
Krankhead;29.0;0.805;0.448;-9.452;0.112;0.0602;1.79e-06;0.113;0.775;160.018;5
The Stone Roses;44.0;0.472;0.947;-6.128;0.0774;9.43e-06;0.0155;0.364;0.75;98.784;10
R3HAB;44.0;0.556;0.188;-12.161;0.0316;0.494;;0.119;0.184;138.091;9
MC Hammer;73.0;0.867;0.517;-13.222;0.0875;0.00456;0.000339;0.0864;0.866;133.148;9
duendita;35.0;0.341;0.47;-10.144;0.037;0.226;0.105;0.518;0.203;144.109;1
Rainbow;66.0;0.733;0.726;-6.514;0.0371;0.379;2.58e-06;0.471;0.915;120.814;8
fijitrip;30.0;0.696;0.661;-5.996;0.0877;0.00103;3.21e-05;0.114;0.397;121.032;6
Machine Gun Kelly;81.0;0.517;0.848;-4.054;0.0521;0.00581;;0.214;0.429;95.906;9
ShittyCT;4.0;0.437;0.948;-4.287;0.092;0.000234;;0.0876;0.517;170.023;6
Tetrarch;49.0;0.384;0.974;-3.647;0.141;0.000153;0.000247;0.226;0.155;194.842;8
Dreezy;42.0;0.858;0.525;-7.332;0.148;0.0443;0.00738;0.197;0.351;170.875;5
The Ayoub Sisters;16.0;0.297;0.0958;-20.316;0.0384;0.844;0.855;0.126;0.296;80.672;7
Brandon Jack & The Artifacts;29.0;0.516;0.948;-3.994;0.0644;0.0279;0.0564;0.15;0.957;170.087;1
Moon Guitar;47.0;0.32;0.242;-15.17;0.0422;0.941;0.93;0.165;0.431;81.09;7
Kvelertak;44.0;0.357;0.977;-6.489;0.124;1.6e-05;0.892;0.105;0.28;159.81;8
Better Than Ezra;63.0;0.615;0.657;-6.873;0.029;0.000372;0.0204;0.132;0.792;109.95;10
Silversun Pickups;65.0;0.633;0.831;-5.053;0.0461;0.0401;0.693;0.117;0.243;127.397;10
Orange Juice;55.0;0.881;0.546;-9.357;0.0407;0.0532;0.000149;0.0497;0.852;102.814;6
U2;49.0;0.624;0.528;-9.103;0.0344;0.0286;0.00516;0.0866;0.33;120.049;10
The Clash;56.0;0.799;0.789;-8.208;0.0395;0.0595;;0.0338;0.831;116.083;10
Victor Manu;47.0;0.494;0.0634;-19.203;0.044;0.984;0.926;0.11;0.15;78.227;7
The Last Shadow Puppets;49.0;0.52;0.642;-7.546;0.0434;0.000517;0.0017;0.0794;0.449;88.967;10
Anne-Marie;48.0;0.595;0.759;-4.245;0.0423;0.141;;0.172;0.515;80.953;9
Sly & The Family Stone;28.0;0.566;0.943;-10.359;0.123;0.00488;0.346;0.728;0.324;117.813;10
Veruca Salt;47.0;0.612;0.86;-9.175;0.044;0.00253;0.00153;0.158;0.687;136.212;1
Juice WRLD;77.0;0.63;0.446;-8.9;0.0351;0.337;;0.166;0.177;143.078;5
BENEE;53.0;0.521;0.532;-11.492;0.0357;0.563;0.000435;0.386;0.326;95.19;9
Ganser;9.0;0.185;0.865;-10.522;0.0576;0.000632;0.807;0.112;0.0789;84.031;6
Nick Cave & The Bad Seeds;41.0;0.415;0.94;-4.874;0.0889;0.0049;;0.144;0.439;134.392;1
Soen;49.0;0.425;0.403;-9.343;0.0273;0.0792;0.0049;0.113;0.135;155.761;10
Vani Jairam;20.0;0.373;0.707;-9.566;0.0562;0.668;3.68e-05;0.361;0.75;89.1;3
Liam Gallagher;59.0;0.39;0.646;-3.961;0.0372;0.0904;;0.114;0.271;120.755;10
The Pretty Things;38.0;0.439;0.795;-9.424;0.0314;0.00407;0.00114;0.296;0.789;84.846;6
Tha Dogg Pound;56.0;0.827;0.532;-4.775;0.302;0.0219;2.91e-05;0.127;0.694;87.257;5
BLAB;26.0;0.709;0.685;-7.573;0.0281;0.0355;0.0268;0.0389;0.7;129.987;1
Mighty Sam McClain;41.0;0.583;0.143;-15.786;0.148;0.676;2.84e-05;0.117;0.533;156.009;2
Trillary Banks;35.0;0.704;0.579;-9.331;0.418;0.287;;0.139;0.712;142.815;5
El Goodo;30.0;0.247;0.88;-3.057;0.097;2.01e-05;0.309;0.122;0.333;134.445;10
Keb' Mo';54.0;0.801;0.637;-6.406;0.0565;0.169;3.75e-05;0.0925;0.769;77.012;2
Why Bonnie;24.0;0.539;0.578;-8.522;0.0278;0.0987;0.000923;0.28;0.353;102.03;10
Snoop Dogg;63.0;0.907;0.695;-6.268;0.135;0.246;;0.0808;0.961;101.007;5
MOD SUN;68.0;0.667;0.636;-5.669;0.082;0.022;;0.0908;0.152;158.058;10
Turbo Knight;43.0;0.436;0.944;-7.981;0.0398;0.0035;0.972;0.105;0.588;110.002;6
The Black Crowes;41.0;0.366;0.662;-4.914;0.034;0.00261;;0.0594;0.362;148.34;10
Radiohead;57.0;0.54;0.847;-6.52;0.0297;0.303;0.272;0.109;0.62;148.936;10
Oceans;42.0;0.435;0.889;-6.462;0.0474;2.38e-05;0.000872;0.87;0.344;93.896;8
Arctic Monkeys;79.0;0.288;0.758;-5.692;0.0371;0.00616;;0.303;0.619;97.094;10
The Stranglers;71.0;0.562;0.383;-15.474;0.0304;0.143;0.124;0.138;0.599;93.764;10
Joe Bonamassa;44.0;0.411;0.91;-4.867;0.0392;0.000243;0.00082;0.0931;0.613;106.675;10
LeRoi Thirteen;41.0;0.49;0.974;-4.295;0.115;0.000546;0.225;0.336;0.257;108.946;8
Us The Duo;55.0;0.374;0.35;-11.48;0.176;0.843;;0.188;0.129;74.464;0
Keller Williams;43.0;0.633;0.194;-14.543;0.0729;0.885;0.404;0.111;0.421;143.376;2
Primal Scream;63.0;0.523;0.76;-12.437;0.0325;0.103;0.00068;0.0666;0.581;94.267;10
Lil Son Jackson;35.0;0.593;0.438;-13.451;0.028;0.883;0.0167;0.317;0.758;130.225;2
Drake;81.0;0.809;0.463;-11.377;0.0396;0.256;0.085;0.109;0.364;111.98;9
Abstract Orchestra;45.0;0.748;0.411;-6.06;0.0489;0.0532;0.0117;0.115;0.339;91.941;5
Luther Allison;13.0;0.529;0.595;-13.696;0.0375;0.0227;0.0266;0.0326;0.767;134.642;2
Elena Falwell;41.0;0.167;0.148;-19.539;0.0347;0.955;0.897;0.111;0.04;76.412;7
Sharon Van Etten;51.0;0.543;0.927;-5.209;0.0755;0.000342;0.543;0.0327;0.354;120.097;10
R.E.M.;62.0;0.467;0.432;-11.753;0.0283;0.175;0.001;0.226;0.238;142.642;10
FCG Heem;44.0;0.514;0.387;-11.51;0.409;0.0753;;0.0485;0.461;84.112;5
Tom The Mail Man;60.0;0.762;0.516;-8.016;0.0969;0.0288;;0.0966;0.721;156.97;5
ANSON;28.0;0.357;0.943;-6.168;0.101;0.000547;;0.145;0.482;147.217;10
Jimmy Eat World;38.0;0.576;0.931;-2.491;0.0563;0.00085;;0.143;0.735;133.986;10
dempsey hope;3.0;0.61;0.482;-9.137;0.137;0.299;;0.0527;0.869;73.628;9
Howie Lee;24.0;0.491;0.504;-13.581;0.0566;0.625;0.794;0.222;0.145;159.911;6
Pit Pony;25.0;0.117;0.916;-3.281;0.0723;1.39e-05;0.0992;0.219;0.423;151.886;1
Niko B;63.0;0.86;0.668;-8.512;0.221;0.423;1.85e-06;0.096;0.237;128.096;9
Dan + Shay;71.0;0.529;0.621;-6.018;0.0296;0.13;;0.173;0.617;97.189;9
Gossip;55.0;0.697;0.919;-6.174;0.029;0.00694;0.0621;0.203;0.943;118.341;6
Gone Is Gone;28.0;0.407;0.932;-6.252;0.113;0.00363;0.346;0.229;0.173;102.954;8
Violent Soho;55.0;0.564;0.753;-5.223;0.0433;0.00512;2.43e-06;0.167;0.414;152.064;10
Mr. Oizo;44.0;0.744;0.928;-5.628;0.0495;0.000409;0.624;0.132;0.507;123.014;6
Cage The Elephant;65.0;0.539;0.788;-3.227;0.0396;0.0089;;0.29;0.357;159.986;10
Carusella;11.0;0.431;0.967;-4.555;0.114;0.00159;0.0064;0.142;0.179;146.623;6
FLO;66.0;0.266;0.294;-11.938;0.0291;0.771;0.697;0.107;0.0397;137.941;9
Pathiena;40.0;0.645;0.329;-16.642;0.0419;0.239;0.892;0.375;0.184;128.099;0
The Offspring;59.0;0.508;0.912;-1.798;0.0827;9.75e-05;1.25e-06;0.0669;0.533;139.381;10
Pain of Salvation;42.0;0.579;0.661;-4.011;0.0422;0.0675;0.000373;0.303;0.374;144.909;10
Black Sabbath;16.0;0.426;0.619;-11.501;0.0722;8.44e-05;0.00239;0.17;0.382;162.721;10
The Dark Element;47.0;0.449;0.854;-8.261;0.0431;4.62e-05;0.016;0.246;0.408;152.142;8
Henry Gray;19.0;0.698;0.609;-6.993;0.0485;0.743;;0.188;0.665;131.057;2
Noah Kahan;59.0;0.691;0.231;-10.512;0.0471;0.815;;0.103;0.298;85.153;0
The First Edition;57.0;0.58;0.551;-9.898;0.0582;0.181;0.00719;0.15;0.516;115.896;10
Alka Yagnik;42.0;0.565;0.754;-11.636;0.0344;0.678;0.0442;0.0756;0.922;135.01;3
Bryan Adams;43.0;0.616;0.551;-7.27;0.0249;0.155;;0.099;0.618;75.027;10
The Shins;62.0;0.546;0.878;-5.137;0.0525;0.0133;;0.135;0.35;119.945;1
benny blanco;50.0;0.618;0.215;-12.8;0.04;0.759;0.00962;0.109;0.214;90.004;1
The 1975;57.0;0.639;0.859;-3.923;0.0554;0.18;0.000499;0.0798;0.523;115.97;10
Winger;60.0;0.577;0.676;-11.931;0.0295;0.000895;2.29e-06;0.0625;0.676;95.98;8
Townes Van Zandt;52.0;0.551;0.233;-18.251;0.0312;0.71;0.000949;0.11;0.659;89.574;6
Piers Faccini;28.0;0.454;0.387;-10.159;0.0417;0.406;0.00099;0.0783;0.686;97.995;10
Athletic Progression;37.0;0.632;0.8;-7.227;0.234;0.547;;0.147;0.496;92.757;5
Thirty Seconds To Mars;56.0;0.295;0.715;-6.533;0.0709;0.00212;1.55e-06;0.242;0.242;86.937;10
Pete Rock & C.L. Smooth;50.0;0.77;0.656;-11.169;0.246;0.11;;0.0793;0.788;98.82;5
Peter Case;45.0;0.717;0.245;-10.908;0.0493;0.665;0.000119;0.385;0.502;83.554;2
Menahan Street Band;50.0;0.778;0.399;-8.984;0.0858;0.0751;0.835;0.103;0.321;137.305;1
Butcher Babies;48.0;0.438;0.951;-5.192;0.0736;4.63e-05;0.233;0.351;0.461;165.088;8
MICROCORPS;10.0;0.451;0.776;-11.756;0.0587;0.0518;0.703;0.11;0.609;177.953;6
Sarah Palu;38.0;0.617;0.375;-11.889;0.0319;0.742;0.513;0.109;0.117;151.983;1
Saltatio Mortis;54.0;0.565;0.768;-5.332;0.0382;0.0277;;0.0725;0.58;124.006;8
JADHU;32.0;0.62;0.835;-6.711;0.0319;0.273;0.00339;0.113;0.699;99.022;9
